播放清單 ID,頻道 ID,建立時間,更新時間,標題,說明,瀏覽權限
PLRxHJ_c_TytpYWDYQDJgYKh1iwiO_WULz,UC-gVtrstQm3mNG45kUFGBPw,2015-08-09 10:45:57 UTC,2021-08-09 13:26:39 UTC,Watch later,,私人

影片 ID,新增時間
J5gy9iqjwXM,2021-08-09 13:26:39 UTC
ZI1b8YHR6M4,2021-07-20 23:13:31 UTC
xzCgeRxSzy4,2021-06-14 00:26:11 UTC
qgKTof6rO2g,2021-04-28 12:40:21 UTC
z6fDxUevjRY,2021-04-08 14:44:51 UTC
5nhVVRqEqhc,2021-04-01 03:14:41 UTC
iCmacCifG6I,2021-03-30 18:13:26 UTC
eNkvmj_SWTk,2021-03-30 18:12:04 UTC
vfV4nm004VQ,2021-03-26 16:33:58 UTC
oC483DTjRXU,2021-03-26 13:38:56 UTC
QLQsW8VbTN4,2021-03-26 05:51:20 UTC
 -mQkrH4-E8A,2021-03-25 11:23:48 UTC
06-AZXmwHjo,2021-03-24 22:08:53 UTC
vx-x-yXXE9I,2021-03-23 22:07:08 UTC
6ZZX9iIgFoo,2021-03-23 21:55:33 UTC
eAgv2-XBIac,2021-03-23 21:53:55 UTC
wRJ5cQ9x7Ic,2021-03-23 12:48:28 UTC
6tBc5FLKbTI,2021-03-23 10:36:04 UTC
 -VQ01-XWUA8,2021-03-23 10:30:52 UTC
WDhgOCoPT-g,2021-03-17 04:34:20 UTC
hO_YKK_0Qck,2021-03-16 05:27:50 UTC
MHtbZls2uts,2021-03-16 05:27:16 UTC
7rxqfCq04hQ,2021-03-14 15:10:36 UTC
vaD3ZFFNwhM,2021-03-12 18:22:49 UTC
Dx4BZEVn4fQ,2021-03-02 13:03:56 UTC
fU3DOXjwufg,2021-02-26 22:34:25 UTC
9_HUFz3VShM,2021-02-16 15:35:48 UTC
AWeWihbC0YU,2021-02-08 16:36:30 UTC
5wMl5FM2swo,2021-02-08 16:36:16 UTC
e_IcAgnZbF8,2021-02-08 16:36:09 UTC
sFWfC72WWQY,2021-02-08 16:35:46 UTC
4yStNTFkbzM,2021-02-07 05:24:50 UTC
XOJk0AKIqv8,2021-02-05 02:14:56 UTC
JUkSeqe1eYQ,2021-02-04 03:41:34 UTC
FLmBqI3IKMA,2021-02-02 10:58:47 UTC
ApxEBGbqTyQ,2021-02-02 09:55:15 UTC
LEExjEzm6Es,2021-01-29 16:08:05 UTC
oVlnosHyWz0,2021-01-29 14:40:01 UTC
OtqQYqRNDGI,2021-01-29 14:39:44 UTC
a_1ziTKJmfI,2021-01-26 16:46:26 UTC
1Ge__2Yx_XQ,2021-01-26 16:45:41 UTC
